,count,cat,subcat,subsubcat,combined_cats,combined_cats_lower,processed_comps,sentiment_scores
4048,32,Department of Finance,Property Tax Exemption Application - Disabled Crime Victim or Good Samaritan,Application and information for new applicants of the Disabled Crime Victim or Good Samaritan Exemption.,Department of Finance Property Tax Exemption Application - Disabled Crime Victim or Good Samaritan Application and information for new applicants of the Disabled Crime Victim or Good Samaritan Exemption.,department of finance property tax exemption application - disabled crime victim or good samaritan application and information for new applicants of the disabled crime victim or good samaritan exemption.,department finance property building tax exemption application disabled crime victim good samaritan application information new applicants disabled crime victim good samaritan exemption,"{'neg': 0.339, 'neu': 0.485, 'pos': 0.176, 'compound': -0.6597}"
4049,32,Department of Health and Mental Hygiene,Water Quality Complaint - Beach or Pool,Complaint that beach or pool water is unsanitary or causing illness.,Department of Health and Mental Hygiene Water Quality Complaint - Beach or Pool Complaint that beach or pool water is unsanitary or causing illness.,department of health and mental hygiene water quality complaint - beach or pool complaint that beach or pool water is unsanitary or causing illness.,department health mental hygiene water quality complaint beach pool complaint beach pool water unsanitary causing illness,"{'neg': 0.353, 'neu': 0.647, 'pos': 0.0, 'compound': -0.7269}"
4050,32,Department of Health and Mental Hygiene,Pest Management Help for Building Owners,Help for building owners in developing a pest management plan.,Department of Health and Mental Hygiene Pest Management Help for Building Owners Help for building owners in developing a pest management plan.,department of health and mental hygiene pest management help for building owners help for building owners in developing a pest management plan.,department health mental hygiene pest management help building owners help building owners developing pest management plan,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6597}"
4051,32,Department of Cultural Affairs,Division Transfer,Hidden service for activity coding.,Department of Cultural Affairs Division Transfer Hidden service for activity coding.,department of cultural affairs division transfer hidden service for activity coding.,department cultural affairs division transfer hidden service activity coding,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4052,32,Department of Health and Mental Hygiene,Group Child Care Performance Card - Information for Operators,Information for operators about group child care center performance summary cards.,Department of Health and Mental Hygiene Group Child Care Performance Card - Information for Operators Information for operators about group child care center performance summary cards.,department of health and mental hygiene group child care performance card - information for operators information for operators about group child care center performance summary cards.,department health mental hygiene group child care performance card information operators information operators group child care center performance summary cards,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7506}"
4053,32,Federal Communications Commission,Emergency Mobile Notification,Phone messaging program that informs you of emergencies in your area.,Federal Communications Commission Emergency Mobile Notification Phone messaging program that informs you of emergencies in your area.,federal communications commission emergency mobile notification phone messaging program that informs you of emergencies in your area.,federal communications commission emergency mobile notification phone messaging program informs emergencies area,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.3818}"
4054,32,Department of Buildings,Schedule Department of Buildings Audit Review Appointment,Schedule an audit appointment if a Department of Buildings official said it is necessary.,Department of Buildings Schedule Department of Buildings Audit Review Appointment Schedule an audit appointment if a Department of Buildings official said it is necessary.,department of buildings schedule department of buildings audit review appointment schedule an audit appointment if a department of buildings official said it is necessary.,department buildings schedule department buildings audit review appointment schedule audit appointment department buildings official said necessary,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4055,32,Department of Finance,Red Light Camera Violation Fine Amount,Information on red light camera violation fine amount and penalties.,Department of Finance Red Light Camera Violation Fine Amount Information on red light camera violation fine amount and penalties.,department of finance red light camera violation fine amount information on red light camera violation fine amount and penalties.,department finance red light camera violation fine amount information red light camera violation fine amount penalties,"{'neg': 0.291, 'neu': 0.545, 'pos': 0.164, 'compound': -0.5859}"
4056,32,Department of Health and Mental Hygiene,Guard Dog - Register or Report Ownership Change,"Request to register a trained guard dog or report loss, theft or transfer of ownership.","Department of Health and Mental Hygiene Guard Dog - Register or Report Ownership Change Request to register a trained guard dog or report loss, theft or transfer of ownership.","department of health and mental hygiene guard dog - register or report ownership change request to register a trained guard dog or report loss, theft or transfer of ownership.","department health mental hygiene guard dog animal register report ownership change request register trained guard dog animal report loss, theft transfer ownership","{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.3182}"
4057,32,Department of Buildings,Building Floor Plan Copy - Staten Island,Request for a copy of building floor plans.,Department of Buildings Building Floor Plan Copy - Staten Island Request for a copy of building floor plans.,department of buildings building floor plan copy - staten island request for a copy of building floor plans.,department buildings building floor plan copy staten island request copy building floor plans,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4058,32,Taxi and Limousine Commission,Green Boro Taxi Complaint- Request Denied,Complaint about a green-boro taxi driver refusing a request such as adjusting air conditioning or radio volume.,Taxi and Limousine Commission Green Boro Taxi Complaint- Request Denied Complaint about a green-boro taxi driver refusing a request such as adjusting air conditioning or radio volume.,taxi and limousine commission green boro taxi complaint- request denied complaint about a green-boro taxi driver refusing a request such as adjusting air conditioning or radio volume.,taxi limousine commission green boro taxi complaint request denied complaint greenboro taxi driver refusing request adjusting air conditioning radio volume,"{'neg': 0.385, 'neu': 0.615, 'pos': 0.0, 'compound': -0.8402}"
